yardline_100,ydstogo,td_prob,fg_prob,opp_td_prob,opp_fg_prob,no_score_prob
1.0,1.0,0.88763463,0.06913891,0.011210914,0.0061340467,0.024746044
2.0,2.0,0.8596823,0.095887326,0.01146889,0.0073218546,0.024345886
3.0,3.0,0.8159648,0.1342425,0.012171574,0.007934147,0.028393194
4.0,4.0,0.78654546,0.15846889,0.01359182,0.009359381,0.03059721
5.0,5.0,0.7464842,0.19586597,0.014657791,0.010018654,0.03195772
6.0,6.0,0.71250784,0.22177671,0.0161718,0.010946471,0.03750667
7.0,7.0,0.6866894,0.24905197,0.016581707,0.0112746265,0.035314206
8.0,8.0,0.6647246,0.27563688,0.016698508,0.011591557,0.03023578
9.0,9.0,0.6223591,0.3092252,0.01935333,0.012372628,0.035519507
10.0,10.0,0.5965137,0.32426345,0.020661991,0.0126049705,0.044746935
11.0,10.0,0.5870582,0.33203027,0.021232512,0.012421613,0.04607953
12.0,10.0,0.59025407,0.32899237,0.021983428,0.012528548,0.045072533
13.0,10.0,0.5966919,0.32068324,0.023045342,0.012424398,0.045953017
14.0,10.0,0.5912864,0.32211217,0.025383532,0.013247529,0.046779063
15.0,10.0,0.5849759,0.32554156,0.026331322,0.014463584,0.047529683
16.0,10.0,0.5755819,0.329446,0.027468752,0.017729897,0.048534047
17.0,10.0,0.5717426,0.33077675,0.027214136,0.017734885,0.05133108
18.0,10.0,0.55885696,0.33952233,0.028475909,0.017619612,0.054307055
19.0,10.0,0.53922516,0.34797195,0.032829497,0.019412456,0.05933692
20.0,10.0,0.53064,0.35274094,0.033283204,0.021959955,0.06011758
21.0,10.0,0.5278533,0.3572749,0.033768054,0.022296434,0.05754382
22.0,10.0,0.5260385,0.35811347,0.03484201,0.023167538,0.05654366
23.0,10.0,0.5080013,0.3737341,0.03631425,0.024067827,0.05653955
24.0,10.0,0.49424186,0.3707337,0.03655681,0.023741992,0.073321834
25.0,10.0,0.48960134,0.36629876,0.044028975,0.025909085,0.072803736
26.0,10.0,0.48569232,0.36313596,0.044043593,0.028091405,0.07767213
27.0,10.0,0.47434327,0.3638486,0.04570743,0.029305255,0.08538039
28.0,10.0,0.47569767,0.36565706,0.05031138,0.030521542,0.076342925
29.0,10.0,0.4638238,0.3683067,0.051709574,0.033336405,0.08138301
30.0,10.0,0.45586103,0.3656419,0.05920524,0.033836417,0.08399948
31.0,10.0,0.45799765,0.35987958,0.05981286,0.03791002,0.082868315
32.0,10.0,0.44907382,0.35269928,0.059931368,0.038940478,0.09747886
33.0,10.0,0.4492166,0.3524073,0.0656578,0.040621832,0.090099014
34.0,10.0,0.43973148,0.3476312,0.071104035,0.04086933,0.09867058
35.0,10.0,0.4310748,0.3397415,0.0692256,0.040219128,0.11751068
36.0,10.0,0.43854502,0.33428946,0.072903566,0.044706192,0.10688617
37.0,10.0,0.4366991,0.32620478,0.076150425,0.04790178,0.109508
38.0,10.0,0.44576368,0.3098493,0.082103625,0.04953307,0.10900845
39.0,10.0,0.4357942,0.30864808,0.082208164,0.050006982,0.11955188
40.0,10.0,0.43236786,0.3009804,0.083745964,0.053510293,0.12559336
41.0,10.0,0.44055766,0.2921567,0.089972906,0.0563722,0.11672689
42.0,10.0,0.43131658,0.28537095,0.09618137,0.059841078,0.123193964
43.0,10.0,0.40694034,0.2868984,0.095785856,0.060287412,0.14602663
44.0,10.0,0.4125812,0.28478903,0.0973268,0.06131105,0.13987117
45.0,10.0,0.4090418,0.2854387,0.097349636,0.061324213,0.1427425
46.0,10.0,0.41157052,0.27269647,0.10324218,0.062345214,0.14600319
47.0,10.0,0.40785107,0.26868623,0.100992694,0.06617043,0.1521787
48.0,10.0,0.40534326,0.2654119,0.11084623,0.06882273,0.14528409
49.0,10.0,0.4009173,0.26177445,0.11228708,0.06959126,0.15115343
50.0,10.0,0.3950104,0.26050016,0.11151535,0.07133921,0.15725927
51.0,10.0,0.38857758,0.25655696,0.11540385,0.07183646,0.16327892
52.0,10.0,0.39658615,0.2539808,0.12213838,0.07360794,0.1491675
53.0,10.0,0.39088207,0.25710225,0.12295883,0.07650759,0.14798078
54.0,10.0,0.40012637,0.23988216,0.12845072,0.079534255,0.14726412
55.0,10.0,0.38528067,0.23631297,0.1338244,0.08048183,0.15933926
56.0,10.0,0.37263218,0.23225416,0.1312845,0.08171847,0.17741323
57.0,10.0,0.38193628,0.23617868,0.1383868,0.08518928,0.15341283
58.0,10.0,0.37517992,0.23553811,0.14596114,0.08620171,0.15219358
59.0,10.0,0.37324542,0.2367152,0.14739978,0.09038556,0.14736056
60.0,10.0,0.36276618,0.22851422,0.14781143,0.08742365,0.1686323
61.0,10.0,0.36033028,0.23014559,0.15201868,0.089167476,0.16367741
62.0,10.0,0.361255,0.2216468,0.15891765,0.09140843,0.16207501
63.0,10.0,0.3617904,0.21854924,0.15937504,0.093319245,0.16224189
64.0,10.0,0.36259228,0.21705827,0.16133274,0.0940665,0.16006427
65.0,10.0,0.34557265,0.21683086,0.1703353,0.100019746,0.16223739
66.0,10.0,0.34383923,0.2160339,0.16886492,0.101305306,0.16508803
67.0,10.0,0.34704676,0.20452753,0.17045088,0.10291689,0.17029399
68.0,10.0,0.3468972,0.20341617,0.16876626,0.103542276,0.17301586
69.0,10.0,0.34471923,0.20472676,0.18283045,0.11020043,0.15303667
70.0,10.0,0.34145728,0.19391888,0.18129247,0.10953581,0.16926572
71.0,10.0,0.33068562,0.19340044,0.1760564,0.10912965,0.18634492
72.0,10.0,0.32797346,0.19527373,0.1891642,0.113017015,0.17006911
73.0,10.0,0.3283418,0.19280323,0.19349572,0.11629146,0.16455625
74.0,10.0,0.3164579,0.18945986,0.18985483,0.114638984,0.18517065
75.0,10.0,0.32132038,0.19188097,0.19726555,0.11720748,0.16760136
76.0,10.0,0.30488354,0.18663268,0.20799857,0.1223652,0.17356296
77.0,10.0,0.31296068,0.18127836,0.21463127,0.12507607,0.1613907
78.0,10.0,0.30344054,0.17910305,0.21352461,0.13013913,0.16896836
79.0,10.0,0.30123925,0.17684358,0.21256317,0.13198617,0.1727983
80.0,10.0,0.2929133,0.17360844,0.20771076,0.13053665,0.19068551
81.0,10.0,0.289448,0.16992383,0.21170191,0.1316124,0.19268206
82.0,10.0,0.28886315,0.17397477,0.21972476,0.13553321,0.17714427
83.0,10.0,0.2952509,0.17466006,0.22658645,0.13801047,0.16026501
84.0,10.0,0.28885695,0.16710898,0.22814505,0.14183266,0.1688354
85.0,10.0,0.27885342,0.16320175,0.2255853,0.14359418,0.18346897
86.0,10.0,0.26726502,0.16321436,0.22702977,0.14383696,0.19360404
87.0,10.0,0.2695659,0.15924855,0.22847366,0.14557615,0.19129097
88.0,10.0,0.27449083,0.16336139,0.2339427,0.15122406,0.17066015
89.0,10.0,0.26162478,0.15754122,0.2318585,0.14816266,0.19481072
90.0,10.0,0.26576358,0.15220322,0.23908031,0.15503836,0.17991926
91.0,10.0,0.25507116,0.14871837,0.23301114,0.15123904,0.20400825
92.0,10.0,0.25260878,0.15652359,0.24493206,0.15904088,0.17388871
93.0,10.0,0.24204893,0.1492917,0.23552689,0.15313134,0.20586585
94.0,10.0,0.24830763,0.1500889,0.23651834,0.15506868,0.19161056
95.0,10.0,0.23374233,0.14034998,0.22696011,0.15463714,0.22345388
96.0,10.0,0.24855782,0.12220132,0.2355329,0.15993412,0.21248534
97.0,10.0,0.2232675,0.11150244,0.21788307,0.14732185,0.26905355
98.0,10.0,0.21955279,0.11473727,0.22498724,0.15044992,0.2519997
99.0,10.0,0.20420663,0.11250807,0.23798423,0.15360345,0.22692844
